STT,Price,Vga,Mainboard,Ram,SSD,Cpu
1,3.990.000₫,,A320,8GB,250GB,Ath 3000G
2,117.000.000₫,RTX 4090,Z790,32GB,1TB,i9 14900K
3,14.990.000₫,GTX 1650,H610,8GB,250GB,i5 12400F
4,32.380.000₫,RTX 4060 Ti,B760,16GB,1TB,i5 14400F
5,11.790.000₫,RX 6600,H610,8GB,256GB,i3 12100F
6,22.980.000₫,RTX 4060,B760,8GB,250GB,i5 12400F
7,14.990.000₫,GTX 1650,B760,8GB,250GB,i5 12400F
8,16.290.000₫,RX 6600,B760,8GB,250GB,i5 12400F
9,10.590.000₫,GTX 1650,H610,8GB,250GB,i3 12100F
10,7.490.000₫,GT 730,H510,8GB,250GB,i3 10105F
11,35.990.000₫,RTX 4060 Ti,B760,16GB,500GB,i7 14700F
12,8.490.000₫,GT 1030,H510,8GB,250GB,i3 10105F
13,13.790.000₫,GTX 1650,H610,8GB,250GB,i5 12400F
14,80.000.000₫,RTX 4070 Ti,Z790,32GB,500GB,i9 14900K
15,13.690.000₫,RTX 3050,H610,8GB,250GB,i3 12100F
16,17.690.000₫,RTX 3050,B760,8GB,250GB,i5 12400F
17,33.990.000₫,RTX 4060,B760,16GB,500GB,i7 14700F
18,20.590.000₫,RTX 3060,B760,8GB,250GB,i5 12400F
19,27.990.000₫,RTX 3050,B760,16GB,500GB,i7 14700F
20,28.990.000₫,RTX 3060,B760,16GB,250GB,i5 14600KF
21,33.990.000₫,RTX 4060,B760,16GB,500GB,i5 14600KF
22,29.990.000₫,RTX 3060,B760,16GB,500GB,i7 14700F
23,35.290.000₫,RTX 3060,B760,16GB,1TB,i7 13700
24,36.990.000₫,RTX 4060 Ti,B760,16GB,500GB,i5 13400
25,37.990.000₫,RTX 4070,B760,16GB,500GB,i5 14600KF
26,41.990.000₫,RTX 3060,X670,32GB,500GB,R9 7900
27,57.890.000₫,RTX 4060 Ti,Z790,32GB,500GB,i9 14900KF
28,52.990.000₫,RTX 4070 Ti,Z790,32GB,500GB,i7 14700F
29,65.990.000₫,RTX 4070 Ti,Z790,32GB,1TB,i7 14700K
30,73.990.000₫,RTX 4070 Ti,Z790,64GB,1TB,i9 14900K
31,80.000.000₫,RTX 4080,Z790,32GB,500GB,i7 14700K
32,26.990.000₫,RTX 4060,B760,16GB,1TB,i5 14400F
33,89.000.000₫,RTX 4080,Z790,32GB,1TB,i9 14900KF
34,105.000.000₫,RTX 4090,Z790,64GB,1TB,i9 14900K
